name,link,img,shortDescription,version,last_update,count_download,rate,count_viewer,volume,type,category,app_constuctor,price,priceString,homepageUrl,phoneNumber,email,size,pagckage_name
Shadow Fight Arena  - شادو فایت آرنا,https://cafebazaar.ir/app/com.nekki.shadowfightarena,https://s.cafebazaar.ir/images/icons/com.nekki.shadowfightarena-31f9dea9-f6ad-4bd6-a0ba-6bbc44c3438f_128x128.png,با بازیکنانی از سرتاسر دنیا مبارزه کن و قهرمان شادو فایت شو!,۱.۹.۳۱,۲۳ آذر ۱۴۰۳,۲۰۰،۰۰۰+,4.2,۲،۳۴۰,۱۶۳ مگابایت,بازی‌های انتخاب بازار,اکشن,NEKKI,0,۰ تومان,,,,170784331,com.nekki.shadowfightarena
Tap Titans 2: Clicker RPG Game – شکست تایتان‌ها,https://cafebazaar.ir/app/com.gamehivecorp.taptitans2,https://s.cafebazaar.ir/images/icons/com.gamehivecorp.taptitans2-924fe5d2-e274-4c0f-a2be-62846d868767_128x128.png,شمشیرت را تیز کن، ارتش خود را جمع کن و به جنگ سروران غول‌ها (تایتان‌ها) برو!,۷.۶.۱,۲۸ دی ۱۴۰۳,۲۰،۰۰۰+,4.2,۱۲۲,۱۵۶ مگابایت,بازی‌های انتخاب بازار,اکشن,Game Hive Corporation,0,۰ تومان,,,,164097997,com.gamehivecorp.taptitans2
Ninja Arashi,https://cafebazaar.ir/app/com.blackpanther.ninjaarashi,https://s.cafebazaar.ir/images/icons/com.blackpanther.ninjaarashi-0beb00d0-ccdf-4ee4-b3cc-10098caa752b_128x128.png,Ninja Arashi is an intense shadow art style platformer with mixed RPG elements.,۱.۹,۱۸ آذر ۱۴۰۳,۳،۰۰۰،۰۰۰+,4.6,۱۱،۱۸۵,۷۰ مگابایت,بازی‌های انتخاب بازار,اکشن,Black Panther,0,۰ تومان,,,,72881920,com.blackpanther.ninjaarashi
Shadow of Death: Dark Knight - سایه‌ مرگ,https://cafebazaar.ir/app/com.Zonmob.ShadowofDeath.FightingGames,https://s.cafebazaar.ir/images/icons/com.Zonmob.ShadowofDeath.FightingGames-1e57e2a6-6561-42e7-ad63-7a6c09043573_128x128.png,Venture to the Shadow Fight & become Soul Legends in RPG Offline Fighting games,۱.۱۱۱.۰.۰,۲۰ مهر ۱۴۰۳,۲۰۰،۰۰۰+,4.5,۹۸۷,۲۱۲ مگابایت,بازی‌های انتخاب بازار,اکشن,Brave HK Limited,0,۰ تومان,,,aptoide@cafebazaar.ir,222486791,com.Zonmob.ShadowofDeath.FightingGames
مدافع (نبرد پارسه),https://cafebazaar.ir/app/com.memorymakers.thedefender,https://s.cafebazaar.ir/images/icons/com.memorymakers.thedefender_128x128.png,مدافع(نبرد پارسه) یک بازی تیراندازی در سبک Shoot them up است. ,۱,۴ اسفند ۱۴۰۱,۲۰۰،۰۰۰+,4.4,۳،۷۳۸,۸۸ مگابایت,بازی‌های انتخاب بازار,اکشن,خاطره سازان ۲,0,۰ تومان,,,thedefender@memorymakers.ir,92600484,com.memorymakers.thedefender
Ninja Dash Run - نینجا سرعتی,https://cafebazaar.ir/app/com.generagames.ninjadash.samuraironin.jumprpg,https://s.cafebazaar.ir/images/icons/com.generagames.ninjadash.samuraironin.jumprpg-1cb9b314-f2e7-4d27-9185-6166571a69fb_128x128.png,کاتانا یا شمشیر ژاپنی خود را بردار، شوریکن یا تیغه‌ی چندپر خود را به دست بگیر و قدم به جهان نینجا بگذار.,۱.۸.۹,۱۸ آذر ۱۴۰۳,۵۰۰،۰۰۰+,4.5,۱،۸۵۴,۵۹ مگابایت,بازی‌های انتخاب بازار,اکشن,Viva Games Studios,0,۰ تومان,,,,61594514,com.generagames.ninjadash.samuraironin.jumprpg
Shadow Fight 2 – شادو فایت ۲,https://cafebazaar.ir/app/com.nekki.shadowfight,https://s.cafebazaar.ir/images/icons/com.nekki.shadowfight-10c91986-82e5-4beb-8889-3eb7ce754f7e_128x128.png,شخصیت خود در بازی را به اسلحه‌های مختلف مجهز و مهارت او در هنرهای رزمی را تقویت کنید.,۲.۴۰.۵,۶ دی ۱۴۰۳,۳،۰۰۰،۰۰۰+,4.5,۵۴،۴۳۰,۱۳۲ مگابایت,بازی‌های انتخاب بازار,اکشن,NEKKI,0,۰ تومان,,,,138247328,com.nekki.shadowfight
Stickman Legends: Ninja Warrior - Shadow of War,https://cafebazaar.ir/app/com.zitga.ninja.stickman.legends,https://s.cafebazaar.ir/images/icons/com.zitga.ninja.stickman.legends-c5e86104-8cfc-4962-a4d3-688c9dda8cd5_128x128.png,"Fight shadow of war, defeat monster to be the legend of stickman fighting games!",۷.۰.۴,۳ آبان ۱۴۰۳,۵۰۰،۰۰۰+,4.3,۴،۳۲۶,۱۵۱ مگابایت,بازی‌های انتخاب بازار,اکشن,ZITGA,0,۰ تومان,,,,158084154,com.zitga.ninja.stickman.legends
نبرد گلادیاتورها,https://cafebazaar.ir/app/com.boombitgames.TinyGladiators,https://s.cafebazaar.ir/images/icons/com.boombitgames.TinyGladiators_128x128.png,نبرد گلادیاتورها یک بازی اکشن و نقش‌آفرینی است که در آن شما باید شخصیت خود را ارتقاء دهید.,۲.۲.۸,۱ بهمن ۱۳۹۷,۲۰۰،۰۰۰+,4.8,۶،۸۰۷,۸۷ مگابایت,بازی‌های انتخاب بازار,اکشن,مدریک FZE,0,۰ تومان,,02191001098,T.Gladiators@medrickgames.com,91714912,com.boombitgames.TinyGladiators
Cover Fire – تیراندازی آفلاین,https://cafebazaar.ir/app/com.generagames.resistance,https://s.cafebazaar.ir/images/icons/com.generagames.resistance-f41b24c6-fab4-493b-951d-67a0c621896c_128x128.png,با اسلحه‌های مختلف تیراندازی کن،‌ هلیکوپتر سوار شو، زامبی بکش و با دیگران مبارزه کن!,۱.۳۲.۱۲,۱۵ آذر ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.5,۶،۰۳۸,۴۲۳ مگابایت,بازی‌های انتخاب بازار,اکشن,Viva Games Studios,0,۰ تومان,,,,443407192,com.generagames.resistance
Sniper Fury: Shoot 3D Guns - اسنایپر فیوری,https://cafebazaar.ir/app/com.gameloft.android.ANMP.GloftFWHM,https://s.cafebazaar.ir/images/icons/com.gameloft.android.ANMP.GloftFWHM-84efd632-5af0-4154-9f6b-e5dc18632769_128x128.png,A 3D sniping game to hunt elite hitmen and shooter assassins. Ready to snipe?,۷.۴.۰h,۲۹ آذر ۱۴۰۳,۵۰۰،۰۰۰+,3.3,۸۹۳,۴۸ مگابایت,بازی‌های انتخاب بازار,اکشن,Gameloft SE,0,۰ تومان,,,,50175335,com.gameloft.android.ANMP.GloftFWHM
Western Sniper - Wild West FPS Shooter - کشتن راهزنان,https://cafebazaar.ir/app/wild.west.sniper,https://s.cafebazaar.ir/images/icons/wild.west.sniper-c732fe06-1b51-4ab3-985b-df69ed2f70e2_128x128.png,Cowboy shooter. Take guns and fight for justice! Shoot & stop all wanted bandits,۲.۹.۷,۲۷ دی ۱۴۰۳,۲۰۰،۰۰۰+,4.5,۱،۳۵۷,۱۱۶ مگابایت,بازی‌های انتخاب بازار,اکشن,CASUAL AZUR GAMES,0,۰ تومان,,,,121377463,wild.west.sniper
Critical Ops – مبارزه با اسلحه,https://cafebazaar.ir/app/com.criticalforceentertainment.criticalops,https://s.cafebazaar.ir/images/icons/com.criticalforceentertainment.criticalops-3f52132b-b849-4c09-9bf6-685f46450d22_128x128.png,با اسلحه به مبارزه با رقبا برو، برای خودت تیم بساز و به گروه سربازان نمونه راه پیدا کن!,۱.۴۸.۰.f۲۸۰۹,۳ دی ۱۴۰۳,۱۰۰،۰۰۰+,4.2,۴،۱۵۴,۹۸۲ مگابایت,بازی‌های انتخاب بازار,اکشن,Critical Force Ltd.,0,۰ تومان,,,,1029441103,com.criticalforceentertainment.criticalops
Johnny Trigger - Sniper Game - تک‌تیرانداز,https://cafebazaar.ir/app/com.jtsniper.game,https://s.cafebazaar.ir/images/icons/com.jtsniper.game-cf3a35a3-b6a0-401e-8ac8-740763ca9cf2_128x128.png,Kill your targets with the sniper scope in incredible 3D shooter!,۱.۰.۴۸,۶ دی ۱۴۰۳,۲۰۰،۰۰۰+,4.7,۶۵۶,۱۰۷ مگابایت,بازی‌های انتخاب بازار,اکشن,SayGames Ltd,0,۰ تومان,,,,112659501,com.jtsniper.game
N.O.V.A. Legacy – میراث نوا,https://cafebazaar.ir/app/com.gameloft.android.ANMP.GloftNOHM,https://s.cafebazaar.ir/images/icons/com.gameloft.android.ANMP.GloftNOHM-8012a633-45b5-47c0-a9b9-6a5cae2e891e_128x128.png,با کال واردین،‌ قهرمان این بازی و دستیارش همراه شو، دشمنان زمین را شناسایی کن، با آن‌ها مبارزه کن و زمین را نجات بده!,۵.۸.۴a,۱۹ اردیبهشت ۱۴۰۱,۲۰۰،۰۰۰+,4.4,۹۷۰,۴۶ مگابایت,بازی‌های انتخاب بازار,اکشن,Gameloft SE,0,۰ تومان,,,,48448792,com.gameloft.android.ANMP.GloftNOHM
Sniper 3D – تک‌تیراندازی سه بعدی,https://cafebazaar.ir/app/com.fungames.sniper3d,https://s.cafebazaar.ir/images/icons/com.fungames.sniper3d-5599105d-f4b2-4af5-a9a3-1a935694beda_128x128.png,با انواع اسلحه‌ها تیراندازی کن، با بازیکنان دیگر از سراسر دنیا بازی کن، گروگان‌ها را نجات بده و بهترین تک‌تیرانداز باش!,۴.۶۷.۰,۲۷ دی ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.2,۲۶،۸۷۱,۱۸۱ مگابایت,بازی‌های انتخاب بازار,اکشن,Wildlife Studios,0,۰ تومان,,,,189474243,com.fungames.sniper3d
Sniper X,https://cafebazaar.ir/app/com.glu.sniperx,https://s.cafebazaar.ir/images/icons/com.glu.sniperx_128x128.png,در Sniper X شما به عنوان یک تک‌تیر‌انداز مبارزه می‌کنید تا دنیا را از دست تروریست‌ها آزاد کنید! مبارزه‌ای که به مناطقی کشیده می‌شود که فقط ...,۱.۷.۱,۲۹ آبان ۱۳۹۵,۵۰۰،۰۰۰+,4.5,۲۳،۰۲۰,۵۱ مگابایت,بازی‌های انتخاب بازار,اکشن,Glu,0,۰ تومان,,,,53029540,com.glu.sniperx
تک تیرانداز: عملیات انتقام,https://cafebazaar.ir/app/ir.nwg.sniperRevOp,https://s.cafebazaar.ir/images/icons/ir.nwg.sniperRevOp_128x128.png,همه چیز از یه عملیات شروع شد، عملیات انتقام...,۱.۷.۵,۱۳ تیر ۱۳۹۷,۵۰۰،۰۰۰+,4.4,۳۴،۴۰۱,۱۶۸ مگابایت,بازی‌های انتخاب بازار,اکشن,منادیان مدیا,0,۰ تومان,,,nuclearwintergamess@gmail.com,176226801,ir.nwg.sniperRevOp
Kill Shot,https://cafebazaar.ir/app/com.hotheadgames.google.free.rawsniper,https://s.cafebazaar.ir/images/icons/com.hotheadgames.google.free.rawsniper-912996da-6de0-4b22-8346-4a37cc480030_128x128.png,The #1 Original FPS Sniper Shooting Game. Grab a Gun and go to War!,۳.۷.۱۱,۱۲ دی ۱۴۰۲,۲۰۰،۰۰۰+,4.1,۵،۵۳۷,۶۵ مگابایت,بازی‌های انتخاب بازار,شبیه‌سازی,Hothead Games,0,۰ تومان,,,,67803006,com.hotheadgames.google.free.rawsniper
LONEWOLF,https://cafebazaar.ir/app/air.com.FDGEntertainment.Lonewolf.gp,https://s.cafebazaar.ir/images/icons/air.com.FDGEntertainment.Lonewolf.gp-6c4f18bb-19f1-4c45-a3c7-2fc70dad5b2d_128x128.png,Get immersed in a deep Neo-Noir story driven sniper adventure game.,۱.۴.۲۰۹,۵ آذر ۱۴۰۲,۵۰۰،۰۰۰+,4.5,۳،۷۶۹,۶۳ مگابایت,بازی‌های انتخاب بازار,اکشن,FDG Entertainment GmbH & Co.KG,0,۰ تومان,,,,65618101,air.com.FDGEntertainment.Lonewolf.gp
West Gunfighter – هفت تیرکش غرب وحشی,https://cafebazaar.ir/app/com.cg.cowboy,https://s.cafebazaar.ir/images/icons/com.cg.cowboy-8cb099f0-befe-4309-a28c-387c706b4140_128x128.png,هی کابوی! برای یک ماجراجویی هیجان‌انگیز و سه بعدی در غرب وحشی حاضری؟ پس بکش یا کشته شو!,۱.۱۵,۱ مهر ۱۴۰۲,۲،۰۰۰،۰۰۰+,4.5,۶،۳۵۲,۲۶ مگابایت,بازی‌های انتخاب بازار,اکشن,Candy Mobile,0,۰ تومان,,,,27144784,com.cg.cowboy
سرزمین وحشی: بقا (آنلاین),https://cafebazaar.ir/app/com.heliogames.westland,https://s.cafebazaar.ir/images/icons/com.heliogames.westland_128x128.png,توی این دنیا اگر زنده بمونی میتونی فرمانروایی کنی! بقا در دنیایی بسیار بزرگ و بی رحم و رقابت با دوستان,۸.۶.۱,۲۲ دی ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.4,۲۸،۴۳۲,۵۲۷ مگابایت,بازی‌های انتخاب بازار,اکشن,مدریک FZE,0,۰ تومان,,02191001098,Bagha@medrickgames.com,552263073,com.heliogames.westland
Western Sniper - Wild West FPS Shooter - کشتن راهزنان,https://cafebazaar.ir/app/wild.west.sniper,https://s.cafebazaar.ir/images/icons/wild.west.sniper-c732fe06-1b51-4ab3-985b-df69ed2f70e2_128x128.png,Cowboy shooter. Take guns and fight for justice! Shoot & stop all wanted bandits,۲.۹.۷,۲۷ دی ۱۴۰۳,۲۰۰،۰۰۰+,4.5,۱،۳۵۷,۱۱۶ مگابایت,بازی‌های انتخاب بازار,اکشن,CASUAL AZUR GAMES,0,۰ تومان,,,,121377463,wild.west.sniper
Rail Rush,https://cafebazaar.ir/app/com.miniclip.railrush,https://s.cafebazaar.ir/images/icons/com.miniclip.railrush-c54afd4a-d7de-42e3-b352-ccb8d1efad12_128x128.png,سنگ‌های قیمتی و جواهرات مختلف را جمع کن، تخم‌مرغ‌های سنگی را نابود کن، ‌با شخصیت‌های مختلف همراه شو و ماجراجویی کن!,۱.۹.۲۳,۱۸ آذر ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.5,۶،۷۳۲,۶۳ مگابایت,بازی‌های انتخاب بازار,امتیازی,Miniclip.com,0,۰ تومان,,,,66242913,com.miniclip.railrush
ما قهرمان نیستیم,https://cafebazaar.ir/app/com.glimgames.wearenotheroes,https://s.cafebazaar.ir/images/icons/com.glimgames.wearenotheroes_128x128.png,در اثر یه اشتباه ساده، یه سری جونور عجیب از قرن پنجم با ماشین زمان میرن به قرن نوزدهم و غرب وحشی و اونجا هرج و مرج ایجاد میکنن. قهرمان های ...,۱.۲۲.۰,۳۰ مهر ۱۳۹۶,۵۰۰،۰۰۰+,4.3,۳،۸۵۲,۵۶ مگابایت,بازی‌های انتخاب بازار,اکشن,هی تاکسی,0,۰ تومان,,,glimgame@gmail.com,59046683,com.glimgames.wearenotheroes
نبرد سلاطین غرب🔥,https://cafebazaar.ir/app/com.hcg.ctw.cafebazaar,https://s.cafebazaar.ir/images/icons/com.hcg.ctw.cafebazaar-e6e30f2f-285a-452d-8961-d73e56116e71_128x128.png,بازی استراتژی جنگ پادشاهی امپراطوری یک نبرد واقعی در موبایل شما,۲.۱۳۱.۰,۴ دی ۱۴۰۳,۱۰۰،۰۰۰+,3.8,۱،۳۱۵,۱۳۴ مگابایت,بازی‌های انتخاب بازار,استراتژی,Vplay Games,0,۰ تومان,,,ctw.cb@buzzyland.ir,140532601,com.hcg.ctw.cafebazaar
Amigo Pancho,https://cafebazaar.ir/app/com.qaibo.AmigoPancho1G,https://s.cafebazaar.ir/images/icons/com.qaibo.AmigoPancho1G-9f813f06-bba3-4200-9dac-8a430216f69f_128x128.png,Help Pancho to get to the Mountains top!,۱.۴۳.۱,۲۶ اردیبهشت ۱۴۰۱,۲۰،۰۰۰+,4.6,۴۵۳,۸۹ مگابایت,بازی‌های انتخاب بازار,معمایی,Qaibo Games,0,۰ تومان,,,,93739080,com.qaibo.AmigoPancho1G
Aliens Drive Me Crazy,https://cafebazaar.ir/app/com.rebeltwins.aliensdrivemecrazy,https://s.cafebazaar.ir/images/icons/com.rebeltwins.aliensdrivemecrazy-004bd681-ea94-4a0c-aeb9-d20fb3761887_128x128.png,"Smash everything in this crazy, chaotic, simple but challenging, and fun game!",۳.۲.۲,۲۲ دی ۱۴۰۳,۴،۰۰۰،۰۰۰+,4.7,۱۸،۷۹۹,۹۸ مگابایت,بازی‌های انتخاب بازار,اکشن,Rebel Twins,0,۰ تومان,,,,102974494,com.rebeltwins.aliensdrivemecrazy
Space shooter - Galaxy attack - Galaxy shooter - جنگنده فضایی - حمله به کهکشان,https://cafebazaar.ir/app/com.game.space.shooter2,https://s.cafebazaar.ir/images/icons/com.game.space.shooter2-db05ad17-9f0c-4a7d-87aa-83899bf48590_128x128.png,فرمانده! به کمک شما نیاز داریم! موجودات فضایی در حال حمله به کهکشان هستند! 👽👽👽,۱.۸۶۷,۲۴ دی ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.5,۵،۷۳۴,۲۱۲ مگابایت,بازی‌های انتخاب بازار,امتیازی,1SOFT,0,۰ تومان,,,aptoide@cafebazaar.ir,222210542,com.game.space.shooter2
پوکه : جنگ تیمی (آنلاین),https://cafebazaar.ir/app/com.PilehGames.Lotus,https://s.cafebazaar.ir/images/icons/com.PilehGames.Lotus-832ec028-8657-41d1-add5-7430b9f5fe1c_128x128.png,در بازی جدید پوکه، جنگ قهرمانان، با تفنگ بجنگید، تیم بسازید و به یک قهرمان واقعی تبدیل شوید!,۲.۱۳.۱,۱۹ دی ۱۴۰۳,۵۰،۰۰۰+,4.7,۲،۰۴۹,۱۳۶ مگابایت,بازی‌های انتخاب بازار,اکشن,آنو استودیو,0,۰ تومان,https://pilehgames.com/pooke.html,,pilehgame@gmail.com,142415528,com.PilehGames.Lotus
تیزبال,https://cafebazaar.ir/app/com.ParsisGames.AirCombat,https://s.cafebazaar.ir/images/icons/com.ParsisGames.AirCombat-03a48412-11ac-46a0-8fa6-2144fd9a303f_128x128.png,اوج هیجان و لذت را در جنگ داگ فایت با جنگنده های مدرن تجربه کنید! نبردهای آنلاین شروع شد!,۲.۷۱۵,۱۵ شهریور ۱۴۰۳,۱،۰۰۰،۰۰۰+,4.6,۴۳،۴۵۵,۱۱۳ مگابایت,بازی‌های انتخاب بازار,اکشن,پارسیس گیمز,0,۰ تومان,http://www.parsisgames.ir,,support@parsisgames.com,118225696,com.ParsisGames.AirCombat
بولدی : بازی اکشن ماجراجویی,https://cafebazaar.ir/app/com.oxin.boldy,https://s.cafebazaar.ir/images/icons/com.oxin.boldy-c7efe336-6b96-4df7-accf-308efcf19597_128x128.png,به سیاره بولدی بیا، جایی که هر نبرد، افسانه‌ای خلق می‌کنه! تفنگت رو بردار و تو دنیای اکشن و جهان‌باز بولدی تاریخ‌ساز شو!,۲.۵.۰,۱۷ دی ۱۴۰۳,۲۰،۰۰۰+,4.7,۲۷۳,۱۲۵ مگابایت,بازی‌های انتخاب بازار,اکشن,پاییزان,0,۰ تومان,https://www.goftino.com/c/sThsvh,,oxin.apps@gmail.com,131318518,com.oxin.boldy
Alpha Guns 2,https://cafebazaar.ir/app/com.renderedideas.alphaguns2,https://s.cafebazaar.ir/images/icons/com.renderedideas.alphaguns2-52433c2e-2207-4ff3-9715-a58bf5f101e1_128x128.png,"Be a metal soldier, defeat enemies & epic bosses.",۳۲۶.۰,۱۴ دی ۱۴۰۳,۲۰۰،۰۰۰+,4.3,۵۲۲,۵۱ مگابایت,بازی‌های انتخاب بازار,اکشن,Rendered Ideas,0,۰ تومان,,,,53079064,com.renderedideas.alphaguns2
یگان ویژه (آنلاین),https://cafebazaar.ir/app/com.ParsisGames.SpecialForce,https://s.cafebazaar.ir/images/icons/com.ParsisGames.SpecialForce_128x128.png,آماده ای که وارد یک نبرد جانانه بشی؟ مبارزه ای اکشن و هیجان انگیز بین گروههای تروریستی و نیروهای یگان ویژه پلیس! تو در این جنگ فرماندهی ...,۱.۵۵,۲۳ تیر ۱۴۰۰,۲۰۰،۰۰۰+,4.3,۹،۴۷۶,۵۸ مگابایت,بازی‌های انتخاب بازار,اکشن,پارسیس گیمز,0,۰ تومان,http://www.parsisgames.ir,,support@parsisgames.com,60905077,com.ParsisGames.SpecialForce
پر سلاح (شوتر اول شخص),https://cafebazaar.ir/app/com.natoor.gunsalot,https://s.cafebazaar.ir/images/icons/com.natoor.gunsalot-f00f39e2-7b43-4909-bf21-bed1dfc7ba4f_128x128.png,یک بازی شوتر اول شخص با کنترل ساده و مهیج,۱.۷.۲۳,۲۰ دی ۱۴۰۲,۵۰۰،۰۰۰+,4.4,۴،۷۲۷,۷۵ مگابایت,بازی‌های انتخاب بازار,اکشن,ناطور,0,۰ تومان,http://natoorgames.com/,02188530748,Natoorgame@gmail.com,78217744,com.natoor.gunsalot
Metal Squad: Shooting Game,https://cafebazaar.ir/app/com.sora.metal.squad,https://s.cafebazaar.ir/images/icons/com.sora.metal.squad_128x128.png,Get your weapons ready for the ultimate action-shooting game.,۲.۳.۱,۲۵ مرداد ۱۳۹۹,۵۰۰،۰۰۰+,4.4,۱،۰۲۸,۱۲۷ مگابایت,بازی‌های انتخاب بازار,اکشن,ONESOFT,0,۰ تومان,,,,132833589,com.sora.metal.squad
